"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TJP1",36.768783813936,2.03400482138021,0.0829827078500819,24.5111888256874,1.12239502367834e-132,2.84504075591014e-130
"GJA5",23.7900800637917,2.31829886958169,0.0945948025711708,24.5076770241945,1.2234563046217e-132,3.05930208928649e-130
"PDGFRB",40.0651038705187,2.14278811356737,0.0874719389023898,24.4968631135353,1.59533721566003e-132,3.93601597847643e-130
"NEBL",38.7037675184071,2.32410204626753,0.094957660422664,24.4751401405929,2.71795051487902e-132,6.61749425359491e-130
"ARHGEF3",34.9747298861165,1.94572178772514,0.0795776578148702,24.4506038648646,4.95851131683921e-132,1.19158822606224e-129
"PECAM1",87.8456804475269,2.49624880960844,0.103562227755385,24.1038539215727,2.2776131577785e-128,5.40319921429915e-126
"PTPRQ",28.4435638087601,2.27165213980649,0.0944659348311252,24.0473155097388,8.90545220266838e-128,2.08590490579969e-125
"ARRB1",24.0405708617457,1.50537581638864,0.0627685070620754,23.9829794724907,4.18617653117796e-127,9.68262631661462e-125
"FLT4",25.8257526536425,1.6556863342671,0.0691750898492256,23.934718955564,1.33305926686397e-126,3.04529983630258e-124
"MXRA8",26.6889969384631,2.09520721027522,0.0876807477086103,23.8958638587142,3.38152411719371e-126,7.63069783714053e-124
"MYH9",197.10084620246,2.01215928939213,0.0842993121668836,23.8692254737352,6.39572925358372e-126,1.42586233865438e-123
"WIPF3",26.2575208410147,1.91743371871629,0.0806291595797883,23.7808967464041,5.26550543117463e-125,1.15991562498161e-122
"IFI27",41.3379925790137,2.46250382437879,0.103922728756444,23.6955269924635,4.00963816884762e-124,8.72874643251251e-122
"LAMB2",46.8770405145491,1.50626151854252,0.0640800692465163,23.5059283838775,3.54735052415011e-122,7.63257838358997e-120
"PTGER4",21.7120315357095,1.80455378094055,0.0775766863706126,23.2615475778319,1.08697167534815e-119,2.31187630811978e-117
"TIMP2",56.0352702024131,1.76289235610672,0.0758282492402921,23.2484908166651,1.47342582735988e-119,3.09821267153036e-117
"TSPAN2",18.7112747573949,2.22394211868101,0.0959854243610879,23.1695815639128,9.22931950007625e-119,1.91886885426304e-116
"LGALS1",50.976947477733,1.71533269520251,0.0741369541597139,23.1373505243708,1.94925533682951e-118,4.00766897252147e-116
"NPR1",29.139724758196,1.76768875134652,0.0764415346132856,23.1247156443049,2.61234806227791e-118,5.31196577410884e-116
"CLIP3",25.597889244444,1.66973171212792,0.0729734032930156,22.8813737167132,7.12224990045817e-116,1.43250121910954e-113
"FRY",23.7786085622776,1.52530301152527,0.0673338145267235,22.6528531354764,1.30763664408962e-113,2.60177510346605e-111
"MTSS1",22.7753893172154,1.80932171405928,0.080061670771567,22.5991001264721,4.42292956985367e-113,8.70658391069918e-111
"BGN",123.858716718796,2.74107531995331,0.12151229164583,22.558008600008,1.12054739561479e-112,2.18259042194275e-110
"HPGD",34.7673285091061,2.56187636122184,0.11362097953854,22.547564469402,1.41881618858115e-112,2.73476820349017e-110
"CLU",93.8613239017868,-3.25080488984673,0.144347561013186,-22.520677641029,2.60356694376038e-112,4.96663945642701e-110
"LIMS2",33.2796019638689,2.16325170850266,0.0961636872297114,22.4955154156597,4.59215655929269e-112,8.67074132379101e-110
"CLDN11",22.6624326256705,2.0878961333738,0.0930433052773662,22.4400468916027,1.60075987303533e-111,2.99196572632786e-109
"USP46",26.2025710293304,1.63149012613674,0.0727068977277947,22.4392757375624,1.62875692821675e-111,3.01385181997228e-109
"TSPAN1",33.1349374797556,-2.82080058512826,0.125759499016582,-22.4301194517029,2.00099014826006e-111,3.6659724458816e-109
"ITGB8",59.9127010106851,2.08040643500945,0.0930858418316754,22.3493325523273,1.22562086430735e-110,2.22342043854345e-108
"CD24",48.602711741372,-2.90422344327262,0.130472076779027,-22.2593486282229,9.15681077720586e-110,1.64502550117881e-107
"ESAM",32.4592840889384,1.54678158011744,0.0697488124513218,22.1764575733379,5.7967310347511e-109,1.03137222179841e-106
"WFDC2",115.956076601064,-3.82794444070172,0.173057406169771,-22.1195066158941,2.05159767426228e-108,3.61550127281422e-106
"ST6GALNAC6",32.4756250175262,1.42536051163955,0.0644980760168874,22.0992717870585,3.21205222919048e-108,5.60715230650383e-106
